model,seed,test_acc,test_loss,training_time_min,best_val_loss
MobileNetV2,42,94.89844119036373,0.1423468930811128,50.163261791070305,0.09673256384421085
MobileNetV2,123,94.7094945677846,0.12419875755029566,40.29161911010742,0.09617492294979885
MobileNetV2,456,94.99291450165329,0.11877792446381029,33.33055226008097,0.0948375441298327
MobileNetV2,789,95.13462446858762,0.10839198179104749,35.24333553314209,0.09591576942543992
MobileNetV2,101112,95.55975436939065,0.11950680136899738,37.58542919953664,0.09122409293537631
