seed,test_acc,test_loss,training_time,model_path
42,95.79593764761455,0.11574910361977185,3552.1651709079742,models\crossvitsmall_best_seed42.pth
123,94.94567784600851,0.11806529585052938,3236.568349123001,models\crossvitsmall_best_seed123.pth
456,94.66225791213982,0.1277780953575583,3428.929110765457,models\crossvitsmall_best_seed456.pth
789,94.89844119036373,0.13857802485718446,3558.1213912963867,models\crossvitsmall_best_seed789.pth
101112,95.22909777987718,0.12583532754112692,3441.022071838379,models\crossvitsmall_best_seed101112.pth
